nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13109933,0.4711382,0.23761754,0.42197597,0.22942382,0.59814066,0.36871687,0.43426654,0.36871687,0.5858501,0.43016967,0.39329797,0.39329797,0.4629445,0.50391304,0.46704134,0.5162036,0.5776564,0.70056206,0.38100743,0.7128526,0.49981618,0.9135984,0.33594203,0.84395194,0.5858501,neutral
0.13929303,0.4629445,0.22532697,0.43836337,0.23761754,0.61043125,0.39739484,0.40558854,0.38510427,0.63910925,0.39739484,0.38920113,0.43016967,0.5571721,0.5162036,0.47523507,0.5080099,0.5735596,0.67188406,0.37691057,0.70465887,0.49162248,0.8726299,0.36871687,0.83166134,0.6022375,neutral
0.12700248,0.4629445,0.24171439,0.4014917,0.22942382,0.5735596,0.3728137,0.38100743,0.38920113,0.62681866,0.39329797,0.34413573,0.43016967,0.5530753,0.5080099,0.4547508,0.5121068,0.5571721,0.6841746,0.35232943,0.6964652,0.4793319,0.87672675,0.3728137,0.8193708,0.5735596,neutral
0.11471191,0.4629445,0.23761754,0.39329797,0.23352067,0.59814066,0.37691057,0.34413573,0.38510427,0.6309155,0.39329797,0.3400389,0.44246024,0.56536585,0.5080099,0.43016967,0.5121068,0.5448816,0.6759809,0.36462,0.68827146,0.48342878,0.8849205,0.38920113,0.8357582,0.5571721,neutral
0.1065182,0.4711382,0.2130364,0.37691057,0.2130364,0.5776564,0.3564263,0.33594203,0.36052316,0.64320606,0.35232943,0.3482326,0.38510427,0.5735596,0.49981618,0.43426654,0.48752564,0.5530753,0.6759809,0.38100743,0.6677872,0.4711382,0.89311415,0.4178791,0.84395194,0.5284942,neutral
0.1065182,0.4793319,0.20074585,0.39329797,0.2130364,0.5858501,0.34413573,0.34413573,0.34413573,0.63910925,0.29907033,0.39739484,0.4014917,0.58175325,0.4793319,0.4260728,0.49981618,0.54897845,0.67188406,0.4014917,0.63910925,0.47523507,0.87672675,0.4178791,0.8193708,0.49571934,neutral
0.10242135,0.4711382,0.21713327,0.40558854,0.2048427,0.5776564,0.32365146,0.3482326,0.3482326,0.6473029,0.3400389,0.43836337,0.39329797,0.5694627,0.49162248,0.4260728,0.48752564,0.54897845,0.6595935,0.4178791,0.6309155,0.49981618,0.83166134,0.42197597,0.78659594,0.46704134,neutral
0.11061506,0.4711382,0.2130364,0.38510427,0.22942382,0.5776564,0.3400389,0.33184516,0.3564263,0.63910925,0.34413573,0.4178791,0.41378227,0.5735596,0.48752564,0.43836337,0.49571934,0.53668785,0.6800778,0.4260728,0.6513998,0.48342878,0.8562425,0.42197597,0.8029834,0.4629445,neutral
0.11061506,0.48342878,0.2130364,0.38920113,0.22942382,0.5776564,0.33184516,0.3400389,0.36052316,0.63910925,0.3482326,0.4096854,0.43836337,0.5735596,0.48752564,0.4178791,0.49571934,0.5407847,0.6677872,0.4260728,0.6595935,0.49162248,0.9095016,0.4178791,0.8234677,0.43426654,neutral
0.11061506,0.48752564,0.2048427,0.40558854,0.21713327,0.58175325,0.31955463,0.3400389,0.35232943,0.6309155,0.30726406,0.39329797,0.42197597,0.54897845,0.4793319,0.4260728,0.4793319,0.5243973,0.63910925,0.4260728,0.63910925,0.4793319,0.8234677,0.4178791,0.76201487,0.45884764,neutral
