nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.11880877,0.5448816,0.18845528,0.48342878,0.18435843,0.6350124,0.31955463,0.4014917,0.16797101,0.7210463,0.37691057,0.32365146,0.08603393,0.6923683,0.4793319,0.47523507,0.4629445,0.5858501,0.6636903,0.45884764,0.6841746,0.5121068,0.8193708,0.44246024,0.89311415,0.46704134,neutral
0.1065182,0.54897845,0.19255213,0.45884764,0.20074585,0.62681866,0.33594203,0.40558854,0.19664899,0.72514313,0.4014917,0.3482326,0.11880877,0.6800778,0.46704134,0.48342878,0.44655707,0.5858501,0.6513998,0.50391304,0.67188406,0.5243973,0.80708027,0.49981618,0.8398551,0.4547508,neutral
0.1065182,0.53668785,0.19664899,0.44655707,0.18845528,0.62681866,0.33594203,0.4096854,0.22942382,0.73743373,0.40558854,0.36871687,0.19255213,0.6513998,0.4629445,0.4629445,0.4793319,0.5776564,0.6513998,0.5243973,0.6964652,0.5121068,0.7947897,0.53668785,0.9176953,0.42197597,neutral
0.11471191,0.50391304,0.19664899,0.43016967,0.18435843,0.59814066,0.32365146,0.38510427,0.23761754,0.70056206,0.38920113,0.36462,0.20893955,0.63910925,0.46704134,0.4629445,0.45065394,0.5448816,0.6227218,0.49162248,0.6227218,0.50391304,0.7661117,0.5162036,0.81527394,0.44655707,neutral
0.11471191,0.49162248,0.21713327,0.42197597,0.20893955,0.589947,0.35232943,0.36871687,0.2949735,0.7128526,0.46704134,0.32365146,0.24581124,0.6473029,0.48752564,0.44246024,0.48342878,0.5448816,0.67188406,0.49981618,0.6513998,0.50391304,0.8357582,0.5407847,0.84395194,0.4711382,neutral
0.12290562,0.5080099,0.23352067,0.4178791,0.22123012,0.59404385,0.36871687,0.37691057,0.32365146,0.6964652,0.46704134,0.34413573,0.2867798,0.67188406,0.5080099,0.4629445,0.49571934,0.5530753,0.68827146,0.5080099,0.72514313,0.5530753,0.84395194,0.4793319,0.90540475,0.5162036,neutral
0.13519618,0.50391304,0.23352067,0.4096854,0.22942382,0.6063344,0.37691057,0.38100743,0.34413573,0.70875573,0.47523507,0.3564263,0.29087663,0.67188406,0.49981618,0.46704134,0.49981618,0.56536585,0.6513998,0.50391304,0.63910925,0.5776564,0.82756454,0.5162036,0.83166134,0.52030045,neutral
0.13929303,0.49571934,0.23761754,0.37691057,0.23761754,0.6063344,0.39329797,0.3728137,0.36462,0.7128526,0.5080099,0.3400389,0.32774833,0.6759809,0.5243973,0.4547508,0.53259104,0.5694627,0.7456274,0.49162248,0.72924,0.59814066,0.9586638,0.52030045,0.9135984,0.5694627,neutral
0.13929303,0.50391304,0.23352067,0.40558854,0.22942382,0.61043125,0.3564263,0.3728137,0.3482326,0.6964652,0.44246024,0.36052316,0.31955463,0.6513998,0.50391304,0.43836337,0.49981618,0.5571721,0.6800778,0.49571934,0.6063344,0.61043125,0.83166134,0.5080099,0.79888654,0.59814066,neutral
0.12290562,0.5121068,0.22532697,0.4096854,0.22942382,0.61043125,0.37691057,0.36462,0.36052316,0.68827146,0.4178791,0.36462,0.32774833,0.67188406,0.5162036,0.45884764,0.5080099,0.56536585,0.6923683,0.4711382,0.6227218,0.6227218,0.89311415,0.48342878,0.80708027,0.6309155,neutral
