nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.27039236,0.61043125,0.3031672,0.54897845,0.31545776,0.56536585,0.4014917,0.6350124,0.41378227,0.6309155,0.39739484,0.6841746,0.38100743,0.70465887,0.5162036,0.49571934,0.5162036,0.50391304,0.6513998,0.49571934,0.58175325,0.589947,0.7210463,0.3728137,0.70465887,0.5776564,forehand
0.28268293,0.6022375,0.2949735,0.5571721,0.30726406,0.5530753,0.4014917,0.618625,0.4096854,0.62681866,0.36052316,0.70875573,0.36462,0.70056206,0.5121068,0.49162248,0.5080099,0.49981618,0.6350124,0.5080099,0.5776564,0.6063344,0.70875573,0.3728137,0.72924,0.6063344,forehand
0.2867798,0.6227218,0.3113609,0.5448816,0.32774833,0.56536585,0.4014917,0.6145281,0.41378227,0.6350124,0.36462,0.68827146,0.36052316,0.70465887,0.49981618,0.48342878,0.50391304,0.48752564,0.63910925,0.5407847,0.589947,0.59814066,0.6964652,0.4096854,0.72924,0.5858501,forehand
0.29087663,0.618625,0.31545776,0.5694627,0.34413573,0.56536585,0.39329797,0.6063344,0.4178791,0.6227218,0.38100743,0.71694946,0.38100743,0.7210463,0.5162036,0.49571934,0.5080099,0.48752564,0.61043125,0.56536585,0.6063344,0.589947,0.72924,0.5571721,0.7210463,0.5571721,forehand
0.30726406,0.6309155,0.31545776,0.5694627,0.3400389,0.5571721,0.4096854,0.62681866,0.4178791,0.64320606,0.4014917,0.71694946,0.38920113,0.72514313,0.50391304,0.49162248,0.49571934,0.49162248,0.6145281,0.59814066,0.618625,0.6022375,0.7128526,0.5121068,0.7210463,0.52030045,forehand
0.31955463,0.62681866,0.34413573,0.56536585,0.34413573,0.5735596,0.41378227,0.6350124,0.4178791,0.6350124,0.43836337,0.6964652,0.43426654,0.70465887,0.50391304,0.48342878,0.49981618,0.48752564,0.589947,0.6022375,0.61043125,0.6309155,0.73743373,0.53259104,0.7128526,0.5407847,forehand
0.3400389,0.6309155,0.35232943,0.5530753,0.35232943,0.59814066,0.4178791,0.618625,0.4260728,0.6309155,0.43836337,0.67188406,0.43016967,0.70875573,0.49981618,0.48342878,0.50391304,0.5080099,0.59814066,0.5571721,0.59814066,0.6350124,0.72514313,0.49981618,0.72924,0.5162036,forehand
0.33594203,0.6513998,0.32774833,0.561269,0.34413573,0.589947,0.43016967,0.589947,0.4547508,0.65549666,0.4547508,0.6964652,0.4547508,0.72924,0.49981618,0.4629445,0.5121068,0.5121068,0.589947,0.53668785,0.5735596,0.6473029,0.7128526,0.47523507,0.71694946,0.67188406,forehand
0.17206787,0.618625,0.25400496,0.54897845,0.2130364,0.45884764,0.38100743,0.6022375,0.41378227,0.48752564,0.4547508,0.6800778,0.46704134,0.6595935,0.48752564,0.38510427,0.50391304,0.31545776,0.70875573,0.36462,0.68827146,0.6022375,0.8685331,0.24581124,0.9135984,0.75382113,forehand
0.20893955,0.62681866,0.24581124,0.52030045,0.23352067,0.48342878,0.39739484,0.5530753,0.44246024,0.5080099,0.5080099,0.6350124,0.5530753,0.63910925,0.52030045,0.38920113,0.53668785,0.3482326,0.70875573,0.32365146,0.70056206,0.6145281,0.8562425,0.20893955,0.9176953,0.7743054,forehand
0.2130364,0.6473029,0.22942382,0.5162036,0.23352067,0.53259104,0.43016967,0.49162248,0.44655707,0.5121068,0.56536585,0.59404385,0.589947,0.5858501,0.53668785,0.34413573,0.5407847,0.38100743,0.70465887,0.32774833,0.6964652,0.6473029,0.8480488,0.16797101,0.92179215,0.757918,forehand
